City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Saint-Leu,RE,2022-02-07 01:52:30,-21.15,55.2833,77.86,75,79,2.91,broken clouds
60,Tiksi,RU,2022-02-07 01:52:30,71.6872,128.8694,-16.83,98,100,6.17,overcast clouds
61,Chokurdakh,RU,2022-02-07 01:52:31,70.6333,147.9167,-40.41,99,75,2.91,broken clouds
62,Mocuba,MZ,2022-02-07 01:52:31,-16.8392,36.9856,70.52,99,100,5.23,overcast clouds
63,Tuktoyaktuk,CA,2022-02-07 01:52:32,69.4541,-133.0374,-27.4,68,75,12.66,broken clouds
64,Kavaratti,IN,2022-02-07 01:48:05,10.5669,72.642,77.52,67,16,6.17,few clouds
65,Dunedin,NZ,2022-02-07 01:52:32,-45.8742,170.5036,63.81,60,100,4.0,overcast clouds
66,Sri Aman,MY,2022-02-07 01:52:33,1.2376,111.4621,77.09,94,40,4.61,scattered clouds
67,Gao,ML,2022-02-07 01:52:33,16.6362,1.637,60.78,14,0,12.33,clear sky
68,Port Lincoln,AU,2022-02-07 01:52:34,-34.7333,135.8667,79.43,48,0,17.78,clear sky
69,Butaritari,KI,2022-02-07 01:52:34,3.0707,172.7902,82.6,74,86,15.48,overcast clouds
70,Leh,IN,2022-02-07 01:50:23,34.1667,77.5833,6.73,95,100,1.95,overcast clouds
71,Georgetown,MY,2022-02-07 01:52:35,5.4112,100.3354,80.53,89,20,0.0,few clouds
72,Bethel,US,2022-02-07 01:52:35,41.3712,-73.414,27.75,77,0,3.44,clear sky
73,Hithadhoo,MV,2022-02-07 01:52:35,-0.6,73.0833,82.31,70,43,14.9,scattered clouds
74,Sorland,NO,2022-02-07 01:52:36,67.667,12.6934,35.38,87,100,12.71,overcast clouds
75,Riyadh,SA,2022-02-07 01:50:32,24.6877,46.7219,48.34,45,0,5.66,clear sky
76,Vanavara,RU,2022-02-07 01:52:36,60.34,102.2797,-14.55,100,100,1.63,overcast clouds
77,Natitingou,BJ,2022-02-07 01:52:37,10.3042,1.3796,71.76,20,0,5.97,clear sky
78,Kungurtug,RU,2022-02-07 01:52:37,50.5994,97.5228,-7.69,89,63,1.45,broken clouds
79,Umba,RU,2022-02-07 01:52:38,66.6871,34.3429,14.43,93,100,14.81,overcast clouds
80,Hilo,US,2022-02-07 01:52:38,19.7297,-155.09,75.25,88,80,1.99,broken clouds
81,Meulaboh,ID,2022-02-07 01:52:39,4.1363,96.1285,77.4,84,100,1.41,overcast clouds
82,Arraial Do Cabo,BR,2022-02-07 01:49:20,-22.9661,-42.0278,75.79,90,0,20.27,clear sky
83,Lubben,DE,2022-02-07 01:52:39,51.95,13.9,38.25,87,100,15.1,overcast clouds
