City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hambantota,LK,2022-02-07 00:08:51,6.1241,81.1185,74.25,74,94,7.61
68,Kochevo,RU,2022-02-07 00:08:52,59.5994,54.3125,15.22,92,100,6.4
69,Saldanha,ZA,2022-02-07 00:08:52,-33.0117,17.9442,63.25,97,20,10.47
70,Butaritari,KI,2022-02-07 00:08:43,3.0707,172.7902,82.36,75,51,15.37
71,Bambous Virieux,MU,2022-02-07 00:08:45,-20.3428,57.7575,77.22,83,92,9.8
72,Vaini,TO,2022-02-07 00:05:53,-21.2,-175.2,77.16,94,75,14.97
73,Talnakh,RU,2022-02-07 00:08:53,69.4865,88.3972,-28.28,99,56,1.21
74,Broken Hill,AU,2022-02-07 00:08:54,-31.95,141.4333,76.89,35,2,19.22
75,East London,ZA,2022-02-07 00:08:54,-33.0153,27.9116,72.57,84,49,14.74
76,Manzhouli,CN,2022-02-07 00:08:54,49.6,117.4333,-0.44,98,77,6.4
77,Castro,BR,2022-02-07 00:08:55,-24.7911,-50.0119,65.37,83,47,1.86
78,Katiola,CI,2022-02-07 00:08:55,8.1333,-5.1,76.78,22,7,3.38
79,Biryusinsk,RU,2022-02-07 00:08:56,55.9634,97.8235,10.89,93,100,2.82
80,Wewak,PG,2022-02-07 00:08:57,-3.5534,143.6268,80.29,83,100,2.8
81,Porto Novo,BJ,2022-02-07 00:08:57,6.4965,2.6036,76.82,85,31,5.48
82,Puerto Escondido,MX,2022-02-07 00:08:58,15.85,-97.0667,81.43,69,0,4.61
83,Manggar,ID,2022-02-07 00:08:58,-2.8833,108.2667,78.01,89,100,6.76
84,Atar,MR,2022-02-07 00:09:59,20.5169,-13.0499,71.51,11,1,5.03
85,Ponta Delgada,PT,2022-02-07 00:09:59,37.7333,-25.6667,60.49,94,75,6.91
86,Rio Grande,BR,2022-02-07 00:10:00,-32.035,-52.0986,66.94,55,51,12.97
87,Dinghai,CN,2022-02-07 00:10:00,26.2847,119.7936,48.25,87,100,11.21
88,Lazaro Cardenas,MX,2022-02-07 00:05:09,17.9583,-102.2,81.55,55,12,9.86
89,Tambura,SS,2022-02-07 00:10:01,5.6,27.4667,66.69,20,81,4.59
90,Olafsvik,IS,2022-02-07 00:10:01,64.8945,-23.7142,29.46,68,100,25.79
91,Ballina,AU,2022-02-07 00:10:02,-28.8667,153.5667,70.95,83,87,15.84
92,Glossa,GR,2022-02-07 00:10:02,35.4717,23.7763,54.09,85,15,4.29
93,Tasiilaq,GL,2022-02-07 00:10:03,65.6145,-37.6368,23.16,58,100,49.26
94,Maniitsoq,GL,2022-02-07 00:10:03,65.4167,-52.9,4.75,77,100,18.7
95,Bolshoy Kamen,RU,2022-02-07 00:10:03,43.1225,132.3583,-5.91,73,34,4.83
96,Turochak,RU,2022-02-07 00:10:04,52.2576,87.1224,-4.07,98,32,2.59
97,Paracuru,BR,2022-02-07 00:10:04,-3.41,-39.0306,82.11,79,44,8.52
98,Berlevag,NO,2022-02-07 00:10:05,70.8578,29.0864,19.31,87,37,19.46
99,Chokurdakh,RU,2022-02-07 00:10:05,70.6333,147.9167,-41.22,100,85,2.62
100,Jamestown,US,2022-02-07 00:07:25,42.097,-79.2353,31.59,47,0,5.01
101,Staryy Nadym,RU,2022-02-07 00:10:06,65.6118,72.6842,-17.52,100,86,7.54
102,Saskylakh,RU,2022-02-07 00:08:38,71.9167,114.0833,-23.35,100,97,2.95
103,Katsuura,JP,2022-02-07 00:08:36,35.1333,140.3,44.19,40,34,12.03
104,Yima,CN,2022-02-07 00:10:07,34.7381,111.8839,29.97,52,100,3.58
105,Rawson,AR,2022-02-07 00:10:07,-43.3002,-65.1023,67.46,42,3,16.33
106,Marsh Harbour,BS,2022-02-07 00:05:30,26.5412,-77.0636,74.08,73,76,12.35
107,Yar-Sale,RU,2022-02-07 00:10:08,66.8333,70.8333,-9.44,100,83,8.93
108,Erzin,TR,2022-02-07 00:10:08,36.9559,36.2,39.92,78,1,3.29
109,Neftekumsk,RU,2022-02-07 00:10:09,44.6667,44.9167,34.27,68,89,20.13
110,Sinazongwe,ZM,2022-02-07 00:10:09,-17.2614,27.4618,73.2,77,74,1.97
111,Yellowknife,CA,2022-02-07 00:10:09,62.456,-114.3525,-1.68,84,75,3.44
112,Humberto De Campos,BR,2022-02-07 00:10:10,-2.5983,-43.4611,76.14,94,77,4.68
113,Jorhat,IN,2022-02-07 00:10:10,26.75,94.2167,51.69,85,0,2.48
114,Abu Kamal,SY,2022-02-07 00:10:11,34.4506,40.9171,51.33,60,78,4.34
115,Yankton,US,2022-02-07 00:10:11,42.8711,-97.3973,34.12,59,75,9.22
116,Coihaique,CL,2022-02-07 00:09:05,-45.5752,-72.0662,77.61,46,0,3.44
117,San Patricio,US,2022-02-07 00:10:12,28.017,-97.5169,63.01,73,67,9.28
118,Faranah,GN,2022-02-07 00:10:12,10.0404,-10.7434,75.43,14,2,4.14
119,Paciran,ID,2022-02-07 00:10:12,-6.8767,112.3761,79.32,85,100,6.82
120,Kenora,CA,2022-02-07 00:10:13,49.8167,-94.4337,6.78,97,100,1.86
121,Itoman,JP,2022-02-07 00:10:13,26.1247,127.6694,60.82,63,75,6.91
122,Klaksvik,FO,2022-02-07 00:09:31,62.2266,-6.589,34.72,54,90,31.23
123,Dinar,TR,2022-02-07 00:10:14,38.065,30.1656,29.98,72,2,3.98
124,Ponta Do Sol,PT,2022-02-07 00:01:26,32.6667,-17.1,63.23,66,11,10.27
125,Veraval,IN,2022-02-07 00:09:14,20.9,70.3667,63.82,76,6,8.3
126,Tiksi,RU,2022-02-07 00:10:15,71.6872,128.8694,-16.11,99,100,5.28
127,Russell,US,2022-02-07 00:10:15,32.3502,-85.1999,52.88,71,86,5.93
128,Cabo San Lucas,MX,2022-02-07 00:09:55,22.8909,-109.9124,72.61,66,20,1.01
129,Cape Town,ZA,2022-02-07 00:06:13,-33.9258,18.4232,65.26,81,33,4.56
130,Kapaa,US,2022-02-07 00:02:55,22.0752,-159.319,79.2,73,100,5.01
131,Carnarvon,AU,2022-02-07 00:10:17,-24.8667,113.6333,72.14,58,14,22.82
132,Kanye,BW,2022-02-07 00:11:18,-24.9667,25.3327,63.18,64,28,6.31
133,Camana,PE,2022-02-07 00:10:53,-16.6228,-72.7111,71.71,78,67,5.26
134,Bilibino,RU,2022-02-07 00:11:19,68.0546,166.4372,-13.61,78,11,4.12
135,Cherskiy,RU,2022-02-07 00:11:19,68.75,161.3,-29.81,100,23,0.76
136,Boat Of Garten,GB,2022-02-07 00:11:19,57.2491,-3.759,37.02,83,64,8.19
